,words,frequency,ngram
0,the,97577,3
1,a,87505,1
2,px,73973,2
3,of,61797,2
4,and,55633,3
5,ly,54487,2
6,to,52739,2
7,igh,48675,3
8,b,44438,1
9,und,37107,3
10,du,37043,2
11,mädchen,36955,7
12,d,36602,1
13,i,32834,1
14,f,32636,1
15,lz,29815,2
16,was,29088,3
17,v,28040,1
18,chm,27903,3
19,e,27309,1
20,c,27106,1
21,in,26776,2
22,dhbzoi,26615,6
23,dha,25989,3
24,cdovl,25114,5
25,sex,25054,3
26,auf,24670,3
27,willst,24637,6
28,ficken,24637,6
29,komm,24634,4
30,it,24575,2
31,l,24416,1
32,ff,21843,2
33,for,21107,3
34,that,20894,4
35,you,20814,3
36,h,20798,1
37,border,19817,6
38,vp,17667,2
39,font,17344,4
40,r,16666,1
41,z,16458,1
42,doctor,16182,6
43,y,15674,1
44,had,14813,3
45,this,14535,4
46,color,13912,5
47,com,13804,3
48,is,13724,2
49,width,12939,5
50,j,12865,1
51,ei,12861,2
52,kr,12777,2
53,her,12756,3
54,neue,12595,4
55,der,12521,3
56,hier,12455,4
57,your,12397,4
58,zu,12392,2
59,andere,12367,6
60,sie,12365,3
61,nach,12349,4
62,as,12331,2
63,zum,12324,3
64,muschi,12320,6
65,suche,12319,5
66,heute,12319,5
67,für,12319,3
68,hle,12319,3
69,heißen,12318,6
70,nicht,12318,5
71,sind,12318,4
72,aus,12318,3
73,gerade,12318,6
74,frauen,12317,6
75,abend,12317,5
76,jeden,12317,5
77,tag,12317,3
78,findest,12317,7
79,jedes,12317,5
80,alle,12317,4
81,wollen,12317,6
82,sei,12317,3
83,schüchtern,12317,10
84,wähle,12317,5
85,beispiel,12317,8
86,diese,12317,5
87,deiner,12317,6
88,stadt,12317,5
89,bereit,12317,6
90,unsere,12317,6
91,seite,12317,5
92,www,12280,3
93,he,12065,2
94,not,11523,3
95,be,11395,2
96,text,11315,4
97,rgb,11294,3
98,none,11251,4
99,on,10897,2
100,style,10348,5
101,k,10255,1
102,with,10169,4
103,an,9835,2
104,she,9731,3
105,jb,9634,2
106,mb,9595,2
107,tlz,9456,3
108,important,9289,9
109,right,9211,5
110,s,9184,1
111,info,8949,4
112,at,8948,2
113,they,8938,4
114,bj,8879,2
115,n,8817,1
116,ldc,8817,3
117,have,8729,4
118,vat,8646,3
119,left,8642,4
120,ys,8628,2
121,yds,8508,3
122,out,8479,3
123,lm,8448,2
124,net,8408,3
125,his,8338,3
126,mby,8316,3
127,iaxovp,8278,6
128,uzxqvp,8220,6
129,dr,8202,2
130,lmnvbs,8142,6
131,x,8121,1
132,vy,8082,2
133,chiropratics,8014,12
134,lmjpei,7885,6
135,lnj,7848,3
136,pbmzvlz,7751,7
137,es,7749,2
138,size,7739,4
139,zero,7593,4
140,de,7525,2
141,from,7515,4
142,ru,7499,2
143,moq,7487,3
144,biz,7482,3
145,or,7473,2
146,t,7445,1
147,p,7425,1
148,lnvhlz,7370,6
149,lmluzm,7334,6
150,by,7261,2
151,but,7260,3
152,ua,7182,2
153,we,7139,2
154,will,7116,4
155,my,7025,2
156,price,6964,5
157,g,6670,1
158,if,6578,2
159,up,6470,2
160,do,6459,2
161,ec,6191,2
162,m,6005,1
163,http,6005,4
164,are,5840,3
165,eibodhrwoi,5750,10
166,no,5639,2
167,top,5637,3
168,padding,5409,7
169,all,5346,3
170,bottom,5316,6
171,normal,5197,6
172,content,5178,7
173,type,5130,4
174,him,5120,3
175,were,5103,4
176,u,5040,1
177,here,5029,4
178,so,5001,2
179,eibodhrwczovl,4984,13
180,background,4976,10
181,select,4883,6
182,zm,4852,2
183,said,4833,4
184,can,4812,3
185,message,4804,7
186,there,4781,5
187,would,4762,5
188,w,4742,1
189,iy,4725,2
190,bizztrade,4708,9
191,me,4666,2
192,our,4665,3
193,o,4630,1
194,stripped,4613,8
195,original,4612,8
