,words,frequency,ngram
0,b,50088,1
1,the,48728,3
2,a,47003,1
3,c,39658,1
4,of,31101,2
5,en,28565,2
6,ly,27413,2
7,and,27353,3
8,sfhj,26310,4
9,to,25302,2
10,d,22272,1
11,igh,22098,3
12,i,21638,1
13,und,18481,3
14,du,18468,2
15,mädchen,18419,7
16,f,18338,1
17,l,17350,1
18,cdovl,14865,5
19,v,14712,1
20,dha,14545,3
21,was,14473,3
22,lz,13481,2
23,in,13039,2
24,chm,12604,3
25,it,12455,2
26,sex,12375,3
27,auf,12295,3
28,willst,12280,6
29,komm,12278,4
30,dhbzoi,12142,6
31,k,11712,1
32,e,11460,1
33,ficken,11451,6
34,div,11175,3
35,for,10366,3
36,that,10352,4
37,j,9976,1
38,you,9843,3
39,z,9443,1
40,y,9293,1
41,be,9239,2
42,h,9182,1
43,r,8972,1
44,g,8628,1
45,vp,8034,2
46,doctor,7978,6
47,ec,7613,2
48,had,7434,3
49,this,7137,4
50,com,6815,3
51,is,6749,2
52,n,6693,1
53,kr,6662,2
54,her,6628,3
55,zu,6345,2
56,p,6298,1
57,der,6249,3
58,hier,6215,4
59,www,6191,3
60,andere,6165,6
61,sie,6162,3
62,nach,6154,4
63,suche,6141,5
64,heute,6141,5
65,neue,6141,4
66,muschi,6141,6
67,heißen,6140,6
68,nicht,6140,5
69,zum,6140,3
70,frauen,6139,6
71,abend,6139,5
72,jeden,6139,5
73,tag,6139,3
74,findest,6139,7
75,jedes,6139,5
76,für,6139,3
77,alle,6139,4
78,wollen,6139,6
79,sei,6139,3
80,schüchtern,6139,10
81,wähle,6139,5
82,hle,6139,3
83,beispiel,6139,8
84,sind,6139,4
85,diese,6139,5
86,aus,6139,3
87,deiner,6139,6
88,stadt,6139,5
89,gerade,6139,6
90,bereit,6139,6
91,unsere,6139,6
92,seite,6139,5
93,he,6119,2
94,as,5911,2
95,ei,5877,2
96,s,5798,1
97,not,5602,3
98,on,5225,2
99,bb,5219,2
100,t,5188,1
101,she,5139,3
102,jb,5049,2
103,your,4967,4
104,with,4961,4
105,an,4814,2
106,ldc,4781,3
107,mb,4747,2
108,o,4734,1
109,lm,4679,2
110,x,4660,1
111,they,4514,4
112,at,4472,2
113,bj,4358,2
114,tlz,4358,3
115,vat,4353,3
116,net,4344,3
117,bf,4330,2
118,biz,4238,3
119,have,4211,4
120,his,4201,3
121,dr,4155,2
122,ru,4135,2
123,ys,4117,2
124,out,4091,3
125,ua,4089,2
126,eb,4085,2
127,info,4081,4
128,vy,4080,2
129,m,4076,1
130,chiropratics,3969,12
131,yds,3968,3
132,by,3895,2
133,mby,3848,3
134,ik,3820,2
135,zero,3811,4
136,if,3801,2
137,iaxovp,3776,6
138,or,3761,2
139,moq,3755,3
140,lmnvbs,3727,6
141,kdvyndg,3700,7
142,uzxqvp,3695,6
143,bc,3689,2
144,but,3589,3
145,lnj,3588,3
146,http,3545,4
147,w,3537,1
148,ed,3531,2
149,es,3531,2
150,lmjpei,3523,6
151,pbmzvlz,3520,7
152,we,3512,2
153,cf,3485,2
154,my,3477,2
155,u,3454,1
156,from,3447,4
157,uaonzlmwdioobg,3427,14
158,wdq,3392,3
159,lnvhlz,3386,6
160,will,3385,4
161,price,3350,5
162,lmluzm,3308,6
163,nolgqj,3277,6
164,de,3251,2
165,up,3224,2
166,ic,3132,2
167,jm,3102,2
168,tfg,3094,3
169,qdgyndg,3093,7
170,kahr,3012,4
171,are,2905,3
172,do,2821,2
173,ba,2770,2
174,type,2766,4
175,eibodhrwoi,2622,10
176,him,2599,3
177,iiocg,2597,5
178,q,2583,1
179,https,2518,5
180,all,2488,3
181,were,2482,4
182,select,2440,6
183,would,2432,5
184,said,2425,4
185,gdq,2415,3
186,so,2414,2
187,kdqoncg,2413,7
188,no,2394,2
189,message,2378,7
190,odtprqifouxyokg,2362,15
191,there,2353,5
192,zm,2348,2
193,can,2338,3
194,me,2328,2
195,stripped,2290,8
196,them,2285,4
197,original,2284,8
198,additional,2278,10
199,bizztrade,2276,9
200,attachment,2275,10
201,eibodhrwczovl,2274,13
202,contained,2271,9
203,parameters,2254,10
204,their,2254,5
205,filename,2253,8
206,one,2155,3
207,here,2127,4
208,iy,2126,2
209,dcd,2095,3
210,our,2044,3
211,hy,2001,2
212,dy,1965,2
213,odtogzdqpodhrwoi,1935,16
214,ce,1925,2
215,when,1902,4
216,unknown,1894,7
217,vc,1842,2
218,now,1773,3
