,words,frequency,ngram
0,ﾅ,3792,1
1,ﾍ,3059,1
2,ﾌ,2273,1
3,ﾉ,2228,1
4,ﾜ,2129,1
5,ﾈ,1815,1
6,ﾆ,1507,1
7,で,1474,1
8,ｩ,1466,1
9,う,1376,1
10,ﾏ,1361,1
11,よ,1307,1
12,よう,1293,2
13,の,1234,1
14,閧,1115,1
15,｢,1103,1
16,ま,1057,1
17,轤,1037,1
18,セ,1031,1
19,れ,1017,1
20,ﾄ,989,1
21,｢ﾜ,962,2
22,閧｢,953,2
23,閧｢ﾜ,937,3
24,轤ｩ,925,2
25,ｩ閧,924,2
26,轤ｩ閧,924,3
27,ｩ閧｢,924,3
28,轤ｩ閧｢,924,4
29,ｩ閧｢ﾜ,924,4
30,轤ｩ閧｢ﾜ,924,5
31,枚,922,1
32,ﾉれ,922,2
33,れ枚,922,2
34,ﾏよ,922,2
35,ﾉれ枚,922,3
36,ﾏよう,922,3
37,に,874,1
38,ﾅセ,868,2
39,て,794,1
40,な,723,1
41,は,695,1
42,黷,640,1
43,悤,635,1
44,り,618,1
45,ﾝ,608,1
46,と,539,1
47,い,529,1
48,新,492,1
49,ﾅ新,490,2
50,「,488,1
51,ﾛ,481,1
52,家,480,1
53,販,477,1
54,デ,476,1
55,打,475,1
56,、,475,1
57,ﾃ,470,1
58,映,465,1
59,還,465,1
60,兄,465,1
61,棚,465,1
62,蝠,465,1
63,數,465,1
64,ﾅ家,465,2
65,家打,465,2
66,打映,465,2
67,ﾅ還,465,2
68,還兄,465,2
69,ﾃ棚,465,2
70,蝠數,465,2
71,數デ,465,2
72,ﾅ家打,465,3
73,家打映,465,3
74,ﾅ還兄,465,3
75,蝠數デ,465,3
76,ﾅ家打映,465,4
77,黷ｩ,461,2
78,古,458,1
79,關,457,1
80,価,457,1
81,ﾍ古,457,2
82,關販,457,2
83,販「,457,2
84,「ﾛ,457,2
85,ﾛり,457,2
86,り価,457,2
87,關販「,457,3
88,販「ﾛ,457,3
89,「ﾛり,457,3
90,ﾛり価,457,3
91,關販「ﾛ,457,4
92,販「ﾛり,457,4
