,words,frequency,ngram
0,閧,2191,1
1,轤,2068,1
2,枚,1820,1
3,黷,1275,1
4,新,1059,1
5,出,989,1
6,販,949,1
7,価,947,1
8,打,942,1
9,家,941,1
10,古,918,1
11,關,917,1
12,關販,917,2
13,映,904,1
14,還,903,1
15,兄,903,1
16,棚,903,1
17,蝠,903,1
18,數,903,1
19,家打,903,2
20,打映,903,2
21,還兄,903,2
22,蝠數,903,2
23,家打映,903,3
24,醫,778,1
25,學,778,1
26,士,778,1
27,醫學,778,2
28,學士,778,2
29,醫學士,778,3
30,過,765,1
31,係,726,1
32,人,574,1
33,英,555,1
34,関,514,1
35,関係,476,2
36,的,475,1
37,単,464,1
38,能,439,1
39,語,428,1
40,英語,390,2
41,驍,388,1
42,稼,365,1
43,用,354,1
44,当,348,1
45,男,346,1
46,選,346,1
47,副,305,1
48,会,300,1
49,竄,294,1
50,学,287,1
51,話,268,1
52,以,262,1
53,当選,260,2
54,不,258,1
55,一,257,1
56,真,257,1
57,思,236,1
58,信,234,1
59,間,224,1
60,確,221,1
61,方,218,1
62,車,214,1
63,登,212,1
64,大,212,1
65,実,211,1
66,上,206,1
67,谷,201,1
68,円,196,1
69,法,194,1
70,入,194,1
71,知,189,1
72,固,185,1
73,目,182,1
74,子,181,1
75,宅,180,1
76,昔,177,1
77,近,175,1
78,利,175,1
79,生,174,1
80,合,171,1
81,畏,167,1
82,本,165,1
83,行,163,1
84,定,162,1
85,領,162,1
86,住,161,1
87,数,160,1
88,万,159,1
89,蓄,151,1
90,後,149,1
91,日,147,1
92,題,145,1
93,金,145,1
94,細,144,1
95,手,143,1
96,増,140,1
97,称,140,1
98,最,140,1
99,年,136,1
100,開,135,1
101,者,134,1
102,回,134,1
103,繰,132,1
104,僻,129,1
105,可,128,1
106,無,127,1
107,利用,125,2
108,宅副,125,2
109,要,124,1
110,対,123,1
111,解,122,1
112,融,122,1
113,可能,121,2
114,外,121,1
115,文,121,1
116,会話,120,2
117,社,119,1
118,字,119,1
119,返,119,1
120,業,119,1
121,数字,118,2
122,成,118,1
123,必,118,1
124,連,115,1
125,使,115,1
126,痰,114,1
127,介,114,1
128,謔,110,1
129,除,110,1
130,在,110,1
131,中,109,1
132,竝,108,1
133,粁,108,1
134,歓,108,1
135,解除,107,2
136,指,106,1
137,韓,106,1
138,碧,106,1
139,英会,105,2
140,英会話,105,3
141,好,102,1
142,目的,102,2
