,words,frequency,ngram
0,ﾅ,7685,1
1,ﾍ,6282,1
2,ﾌ,4568,1
3,ﾉ,4497,1
4,の,4320,1
5,ﾜ,4291,1
6,で,4045,1
7,ﾈ,3719,1
8,〓,3102,1
9,ﾆ,3017,1
10,う,3012,1
11,ま,2970,1
12,〓〓,2961,2
13,ｩ,2926,1
14,〓〓〓,2820,3
15,よ,2756,1
16,ﾏ,2697,1
17,に,2686,1
18,〓〓〓〓,2679,4
19,よう,2646,2
20,〓〓〓〓〓,2538,5
21,れ,2449,1
22,な,2446,1
23,て,2405,1
24,閧,2191,1
25,｢,2175,1
26,は,2154,1
27,セ,2076,1
28,轤,2068,1
29,ﾄ,2059,1
30,い,2056,1
31,｢ﾜ,1893,2
32,閧｢,1874,2
33,、,1873,1
34,閧｢ﾜ,1848,3
35,轤ｩ,1827,2
36,ｩ閧,1825,2
37,轤ｩ閧,1825,3
38,ｩ閧｢,1825,3
39,轤ｩ閧｢,1825,4
40,ｩ閧｢ﾜ,1825,4
41,轤ｩ閧｢ﾜ,1825,5
42,枚,1820,1
43,ﾉれ,1820,2
44,れ枚,1820,2
45,ﾏよ,1820,2
46,ﾉれ枚,1820,3
47,ﾏよう,1820,3
48,り,1808,1
49,と,1744,1
50,ﾅセ,1721,2
51,る,1580,1
52,黷,1275,1
53,ﾝ,1197,1
54,た,1174,1
55,し,1165,1
56,「,1084,1
57,が,1070,1
58,新,1059,1
59,。,994,1
60,出,989,1
61,ﾅ新,975,2
62,ﾛ,969,1
63,す,965,1
64,ー,963,1
65,販,949,1
66,価,947,1
67,打,942,1
68,デ,942,1
69,家,941,1
70,黷ｩ,931,2
71,ﾃ,918,1
72,古,918,1
73,關,917,1
74,ﾍ古,917,2
75,關販,917,2
76,販「,917,2
77,「ﾛ,917,2
78,ﾛり,917,2
79,り価,917,2
80,關販「,917,3
81,販「ﾛ,917,3
82,「ﾛり,917,3
83,ﾛり価,917,3
84,關販「ﾛ,917,4
85,販「ﾛり,917,4
86,「ﾛり価,917,4
87,關販「ﾛり,917,5
88,販「ﾛり価,917,5
89,か,911,1
90,映,904,1
91,還,903,1
92,兄,903,1
93,棚,903,1
94,蝠,903,1
95,數,903,1
96,ﾅ家,903,2
97,家打,903,2
98,打映,903,2
99,ﾅ還,903,2
100,還兄,903,2
101,ﾃ棚,903,2
102,蝠數,903,2
103,數デ,903,2
104,ﾅ家打,903,3
105,家打映,903,3
106,ﾅ還兄,903,3
107,蝠數デ,903,3
108,ﾅ家打映,903,4
109,を,881,1
110,ﾆで,842,2
111,ﾂ,840,1
112,ﾟ,836,1
113,ﾒ,821,1
114,醫,778,1
115,學,778,1
116,士,778,1
117,醫學,778,2
118,學士,778,2
119,醫學士,778,3
120,過,765,1
121,ﾆに,750,2
122,係,726,1
123,で過,713,2
124,ﾆで過,713,3
125,み,692,1
126,ら,666,1
127,によ,652,2
128,ﾆによ,634,3
129,によう,634,3
130,ﾆによう,634,4
131,ので,619,2
132,出い,613,2
133,ﾊ,600,1
134,　,596,1
135,ﾎ,583,1
136,人,574,1
137,・,570,1
138,英,555,1
139,せ,537,1
140,め,522,1
141,サ,522,1
142,関,514,1
143,ﾚ,511,1
144,ど,509,1
145,ん,504,1
146,ア,491,1
147,関係,476,2
148,的,475,1
149,ﾇ,472,1
150,単,464,1
151,こ,444,1
152,く,441,1
153,能,439,1
154,ス,433,1
155,ﾐ,429,1
156,語,428,1
157,ﾘ,414,1
158,ｽ,409,1
159,　　,391,2
160,英語,390,2
161,ン,388,1
162,驍,388,1
163,け,378,1
164,も,376,1
165,稼,365,1
166,あ,364,1
167,で、,361,2
168,す。,359,2
169,てま,355,2
170,用,354,1
171,ます,352,2
172,や,350,1
