,words,frequency,ngram
0,하,417013,1
1,이,357317,1
2,고,270357,1
3,요,262000,1
4,다,257781,1
5,가,249139,1
6,는,239418,1
7,니,202797,1
8,있,193649,1
9,에,187899,1
10,니다,183470,2
11,을,175913,1
12,서,175555,1
13,어,172719,1
14,인,166894,1
15,보,165810,1
16,로,148953,1
17,도,148194,1
18,시,147689,1
19,세,143337,1
20,한,141843,1
21,사,139662,1
22,원,131942,1
23,공,119594,1
24,수,116689,1
25,정,116018,1
26,안,112506,1
27,게,111547,1
28,만,110960,1
29,기,108291,1
30,지,108109,1
31,아,105329,1
32,리,105199,1
33,장,104357,1
34,드,104200,1
35,세요,102711,2
36,들,101536,1
37,은,100793,1
38,를,98714,1
39,자,96212,1
40,스,95785,1
41,해,91796,1
42,의,87178,1
43,면,86598,1
44,분,81540,1
45,전,81511,1
46,으,80249,1
47,하세,80077,2
48,하세요,80077,3
49,비,79305,1
50,여,78743,1
51,부,77227,1
52,회,75680,1
53,일,73868,1
54,하는,73352,2
55,입,70218,1
56,크,69789,1
57,마,68631,1
58,저,68514,1
59,업,68505,1
60,무,66334,1
61,트,65919,1
62,에서,65514,2
63,합,64694,1
64,정보,63407,2
65,유,63100,1
66,국,63035,1
67,능,60039,1
68,품,59727,1
69,제,59716,1
70,나,59198,1
71,합니,57795,2
72,합니다,57795,3
73,문,57519,1
74,되,56945,1
75,있어,56446,2
76,녕,55781,1
77,안녕,55781,2
78,녕하,55781,2
79,안녕하,55781,3
80,녕하세,55781,3
81,안녕하세,55781,4
82,녕하세요,55781,4
83,안녕하세요,55781,5
84,하고,54800,2
85,주,54459,1
86,급,53464,1
87,님,52757,1
88,생,52243,1
89,회원,51324,2
90,확,51270,1
91,려,50614,1
92,금,49983,1
93,료,49886,1
94,굴,48607,1
95,굴비,48607,2
96,데,48087,1
97,거,46708,1
98,좋,46356,1
99,바,45967,1
100,러,45772,1
101,실,43954,1
102,마스,43758,2
103,스크,43363,2
104,방,43079,1
105,위,42891,1
106,마스크,42581,3
107,카,42152,1
108,익,41747,1
109,수익,41747,2
110,가능,41736,2
111,없,40249,1
112,대,40006,1
113,공유,39904,2
114,힘,39321,1
115,신,39107,1
116,찜,38813,1
117,알,38623,1
118,모,38158,1
119,식,38102,1
120,학,37938,1
121,많,37783,1
122,하시,37575,2
123,습,37429,1
124,때,37187,1
125,페,36809,1
126,직,36705,1
127,죠,35608,1
128,여러,35493,2
129,네,35473,1
130,으로,35181,2
131,용,35020,1
132,습니,34950,2
133,조,34802,1
134,러분,34730,2
135,여러분,34730,3
136,까,34717,1
137,습니다,34560,3
138,네요,34261,2
139,있는,33798,2
140,립,33113,1
141,라,33101,1
142,증,33043,1
143,적,32546,1
144,무료,32538,2
145,확인,31796,2
146,내,31562,1
147,단,31467,1
148,질,31458,1
149,카페,31326,2
150,소,30870,1
151,먹,30142,1
152,만원,30036,2
153,드립,29832,2
154,립니,29832,2
155,드립니,29832,3
156,립니다,29832,3
157,드립니다,29832,4
158,돈,29727,1
159,할,29407,1
160,는데,29358,2
161,님들,29021,2
162,름,28775,1
163,산,28771,1
164,어서,28649,2
165,당,28589,1
166,개,28568,1
167,구,28141,1
168,받,27667,1
169,맛,27602,1
170,재,27416,1
171,공급,27160,2
172,상,27141,1
173,입니,26910,2
174,입니다,26910,3
175,새,26759,1
176,든,26693,1
177,출,26539,1
178,성,26240,1
179,운,25793,1
180,페회,25505,2
181,카페회,25505,3
182,페회원,25505,3
183,카페회원,25505,4
184,있어서,25421,3
185,키,25291,1
186,된,25119,1
187,최,25104,1
188,연,25024,1
189,각,25014,1
190,반,24942,1
191,같,24729,1
192,동,24720,1
193,일반,24548,2
194,오,24522,1
195,만장,24468,2
196,물,24445,1
197,때문,24365,2
