,words,frequency,ngram
0,하,206422,1
1,이,177701,1
2,고,133476,1
3,요,130384,1
4,다,127336,1
5,가,122844,1
6,는,118184,1
7,니,100299,1
8,있,95399,1
9,에,92505,1
10,니다,90878,2
11,서,86746,1
12,을,86431,1
13,어,85929,1
14,인,82360,1
15,보,82073,1
16,시,73667,1
17,도,73521,1
18,로,73460,1
19,세,71541,1
20,한,69041,1
21,사,68510,1
22,원,65079,1
23,공,59224,1
24,정,57787,1
25,수,57459,1
26,안,55959,1
27,게,55896,1
28,만,54835,1
29,기,53330,1
30,지,53074,1
31,리,52641,1
32,아,52576,1
33,장,52186,1
34,드,51913,1
35,세요,51206,2
36,들,50082,1
37,은,49615,1
38,를,49206,1
39,스,47806,1
40,자,47080,1
41,해,45519,1
42,면,42904,1
43,의,42834,1
44,분,40726,1
45,전,40542,1
46,으,39892,1
47,하세,39786,2
48,하세요,39786,3
49,비,39661,1
50,여,39301,1
51,부,38701,1
52,회,37610,1
53,하는,36356,2
54,일,36288,1
55,크,35014,1
56,입,34581,1
57,마,34460,1
58,저,33837,1
59,무,32730,1
60,에서,32634,2
61,업,32632,1
62,트,32589,1
63,합,31583,1
64,정보,31367,2
65,국,31335,1
66,유,30663,1
67,품,30083,1
68,제,29801,1
69,능,29376,1
70,나,29037,1
71,문,28823,1
72,합니,28360,2
73,합니다,28360,3
74,되,28226,1
75,있어,27950,2
76,녕,27725,1
77,안녕,27725,2
78,녕하,27725,2
79,안녕하,27725,3
80,녕하세,27725,3
81,안녕하세,27725,4
82,녕하세요,27725,4
83,안녕하세요,27725,5
84,주,26975,1
85,급,26899,1
86,하고,26677,2
87,님,26198,1
88,확,25624,1
89,회원,25615,2
90,려,25128,1
91,생,25045,1
92,료,24706,1
93,굴,24650,1
94,굴비,24650,2
95,금,24348,1
96,데,23995,1
97,거,23442,1
98,좋,23318,1
99,바,23036,1
100,러,22851,1
101,마스,22050,2
102,스크,21885,2
103,실,21806,1
104,방,21514,1
105,마스크,21481,3
106,위,21378,1
107,카,20952,1
108,익,20414,1
109,수익,20414,2
110,가능,20127,2
111,없,19983,1
112,대,19784,1
113,찜,19683,1
114,공유,19536,2
115,힘,19469,1
116,식,19271,1
117,하시,18929,2
118,많,18822,1
119,신,18812,1
120,학,18678,1
121,알,18649,1
122,때,18627,1
123,습,18492,1
124,페,18321,1
125,모,18203,1
126,직,18193,1
127,여러,17727,2
128,죠,17712,1
129,네,17538,1
130,조,17351,1
131,용,17346,1
132,러분,17337,2
133,여러분,17337,3
134,습니,17286,2
135,까,17276,1
136,으로,17275,2
137,습니다,17107,3
138,네요,16954,2
139,립,16605,1
140,있는,16388,2
141,증,16257,1
142,적,16153,1
143,라,16131,1
